"tradetype","districtofficecode","districtofficename","countryoforigin","countryoforiginname","countryofdestination","countryofdestinationname","tariff","statisticalunit","transportcode","transportcodedescription","yearmonth","calendaryear","section","sectionanddescription","chapter","chapteranddescription","tariffanddescription","statisticalquantity","customsvalue","worldregion"
"Imports","CTN","Cape Town","NG","Nigeria","ZA","South Africa","27090000","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27090000 - Petroleum Oils And Oils Obtained From Bituminous Minerals, Crude","120372600","546876249","AFRICA"
"Imports","CTN","Cape Town","US","United States","ZA","South Africa","27121020","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27121020 - In immediate  packings of a content exceeding 5 kg","13","3469","AMERICA"
"Imports","CTN","Cape Town","US","United States","ZA","South Africa","27030000","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27030000 - Peat (Including Peat Litter), Whether Or Not Agglomerated","20312","69173","AMERICA"
"Imports","CTN","Cape Town","US","United States","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","280","39823","AMERICA"
"Imports","CTN","Cape Town","PT","Portugal","ZA","South Africa","27121020","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27121020 - In immediate  packings of a content exceeding 5 kg","30","703","EUROPE"
"Imports","CTN","Cape Town","SE","Sweden","ZA","South Africa","27101102","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101102 - Petrol, as defined in Additional Note 1(b)","13982036","83587123","EUROPE"
"Imports","CTN","Cape Town","LV","Latvia","ZA","South Africa","27030000","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27030000 - Peat (Including Peat Litter), Whether Or Not Agglomerated","25070","34129","EUROPE"
"Imports","ALX","Alexanderbay","NA","Namibia","ZA","South Africa","27079990","KG","03","Road","201001","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27079990 - Other","1600","1000","AFRICA"
"Imports","DBN","Durban","AE","United Arab Emirates","ZA","South Africa","27101130","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101130 - Distillate fuel, as defined in Additional Note 1 (g)","52694310","273357973","ASIA"
"Imports","DBN","Durban","GB","United Kingdom","ZA","South Africa","27129010","KG","00","Transport mode not specified (Unknown - Other)","201001","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27129010 - Paraffin wax","9000","273266","EUROPE"
